Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
171,0.475,148.197052,-14.489712,172.9077,-264.57605,1449.271362,110.208664,-1.17525,-6.065618,-2.505333,-252.20314,1349.018555,100.045654
172,0.477778,148.156158,-14.476632,172.86554,-264.569,1449.277222,110.209473,-1.142336,-6.058604,-2.470506,-252.197083,1349.013794,100.058372
173,0.480556,148.202866,-14.48456,172.878998,-264.571533,1449.27771,110.215698,-1.218225,-6.100043,-2.500392,-252.196228,1349.026123,100.06218
174,0.483333,148.691727,-14.006207,172.555847,-264.777924,1449.117432,110.281563,-1.205063,-6.069569,-2.495054,-252.198669,1349.034424,100.05349
175,0.486111,148.211258,-14.491718,172.908676,-264.5784,1449.287109,110.219704,-1.164647,-6.059797,-2.476279,-252.193008,1349.026611,100.070488
176,0.488889,148.201736,-14.507047,172.900635,-264.572083,1449.280273,110.221443,-1.156007,-6.055582,-2.485156,-252.186569,1349.025635,100.062088
177,0.491667,148.22551,-14.508109,172.924011,-264.566742,1449.282349,110.215317,-1.182756,-6.058414,-2.506823,-252.195831,1349.033936,100.052361
178,0.494444,148.23201,-14.528543,172.957443,-264.573364,1449.280762,110.225967,-1.133853,-6.045147,-2.555322,-252.19899,1349.031616,100.05545
179,0.497222,148.233246,-14.578385,172.955246,-264.569,1449.280884,110.223434,-1.14727,-6.002021,-2.57157,-252.205933,1349.042603,100.057793
180,0.5,148.238205,-14.604456,172.993423,-264.565125,1449.28064,110.224785,-1.049493,-6.017805,-2.564258,-252.201797,1349.038452,100.065773
181,0.502778,148.299774,-14.601833,173.029327,-264.584015,1449.279053,110.220421,-0.994967,-5.991807,-2.553019,-252.199677,1349.045898,100.077332
182,0.505556,148.310013,-14.604565,173.059586,-264.579163,1449.284424,110.221527,-0.996812,-5.972517,-2.602338,-252.200989,1349.0448,100.061142
