Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
90,0.25,148.17984,-14.480715,172.948059,-264.614899,1449.300659,110.235985,-1.224821,-6.059372,-2.481374,-252.248886,1349.07605,100.041794
91,0.252778,148.185257,-14.509002,172.961426,-264.613922,1449.303223,110.228203,-1.19099,-6.070757,-2.513474,-252.250824,1349.074585,100.030716
92,0.255556,148.177353,-14.520934,172.971268,-264.618469,1449.295654,110.221596,-1.18788,-6.075867,-2.468768,-252.256424,1349.079468,100.018196
93,0.258333,147.774689,-14.962725,173.236923,-264.532074,1449.427979,110.244583,-1.201958,-6.052085,-2.535001,-252.257019,1349.073242,100.012039
94,0.261111,147.761261,-14.970462,173.297791,-264.529694,1449.417114,110.255753,-1.163305,-6.037787,-2.501714,-252.255142,1349.064453,100.015144
95,0.263889,147.730881,-14.980927,173.306259,-264.525909,1449.413574,110.24453,-1.200507,-6.049413,-2.575667,-252.261459,1349.061035,100.019669
96,0.266667,147.770432,-15.023776,173.329834,-264.52771,1449.400391,110.242455,-1.13787,-6.013404,-2.58851,-252.260391,1349.040161,100.000259
97,0.269444,147.829849,-15.052995,173.374557,-264.52948,1449.388428,110.253342,-1.157091,-6.007735,-2.641463,-252.255264,1349.030151,100.004753
98,0.272222,147.829849,-15.052995,173.374557,-264.52948,1449.388428,110.253342,-1.157091,-6.007735,-2.641463,-252.255264,1349.030151,100.004753
99,0.275,147.829849,-15.052995,173.374557,-264.52948,1449.388428,110.253342,-1.157091,-6.007735,-2.641463,-252.255264,1349.030151,100.004753
100,0.277778,147.829849,-15.052995,173.374557,-264.52948,1449.388428,110.253342,-1.157091,-6.007735,-2.641463,-252.255264,1349.030151,100.004753
101,0.280556,147.829849,-15.052995,173.374557,-264.52948,1449.388428,110.253342,-1.157091,-6.007735,-2.641463,-252.255264,1349.030151,100.004753
102,0.283333,147.8591,-15.102525,173.370438,-264.520966,1449.355957,110.267029,-1.111882,-5.989875,-2.57569,-252.254272,1348.989868,100.031509
103,0.286111,147.8591,-15.102525,173.370438,-264.520966,1449.355957,110.267029,-1.111882,-5.989875,-2.57569,-252.254272,1348.989868,100.031509
104,0.288889,147.8591,-15.102525,173.370438,-264.520966,1449.355957,110.267029,-1.111882,-5.989875,-2.57569,-252.254272,1348.989868,100.031509
105,0.291667,147.907349,-15.126011,173.380096,-264.511597,1449.342773,110.247368,-1.054965,-5.980651,-2.573987,-252.238785,1348.977905,100.032333
106,0.294444,147.913345,-15.073398,173.360214,-264.515228,1449.336914,110.256744,-1.040619,-6.002344,-2.597429,-252.236786,1348.981079,100.02581
107,0.297222,147.888962,-15.092203,173.309998,-264.489349,1449.348999,110.254425,-1.034401,-5.989998,-2.602413,-252.231598,1348.987671,100.059212
108,0.3,147.871979,-15.061069,173.27095,-264.505371,1449.357544,110.258675,-1.057701,-6.019181,-2.607107,-252.237503,1348.99231,100.042549
109,0.302778,148.270889,-14.625804,173.032776,-264.597961,1449.222046,110.227921,-1.028829,-6.017368,-2.506362,-252.23291,1349.00415,100.053497
