Format Version,1.23,Take Name,Yuri_prueba3_008,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-10-24 03.34.54.705 P. M.,Total Frames in Take,10973,Total Exported Frames,10973,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002
,ID,"903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","903B383672AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5","A9CA8F6272AB11EEC44687742FF0A7B5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
104,0.288889,148.423492,-14.329843,172.718735,-264.667999,1449.255493,110.263458,-1.108623,-5.974933,-2.750508,-252.239822,1348.996826,100.094101
105,0.291667,148.417694,-14.289409,172.761169,-264.677582,1449.240967,110.257652,-1.123590,-5.959439,-2.800050,-252.249512,1348.984375,100.075317
106,0.294444,148.373520,-14.317645,172.756393,-264.676331,1449.231445,110.262634,-1.135974,-5.945923,-2.818457,-252.249771,1348.971191,100.086052
107,0.297222,148.410583,-14.317313,172.782852,-264.685669,1449.220825,110.263985,-1.174109,-5.955198,-2.842010,-252.261337,1348.963745,100.073364
108,0.300000,148.380951,-14.329449,172.802414,-264.683746,1449.205322,110.249802,-1.207523,-5.972483,-2.794319,-252.260178,1348.960205,100.067970
109,0.302778,148.438904,-14.357252,172.827087,-264.685699,1449.200928,110.253960,-1.169188,-5.959246,-2.881239,-252.265396,1348.945313,100.058571
110,0.305556,-85.175751,-79.020035,118.527855,-262.973602,1449.209717,111.014236,-1.189798,-5.956972,-2.884547,-252.263153,1348.940552,100.059959
111,0.308333,149.794403,-13.695152,171.873367,-264.768646,1448.749390,110.282234,-1.165473,-5.952482,-2.907317,-252.270370,1348.941528,100.051544
112,0.311111,-2.983829,23.241127,5.108479,-263.851318,1450.200684,109.203430,-1.110834,-5.984529,-2.791237,-252.263641,1348.947021,100.051956
113,0.313889,148.508881,-14.349625,172.942444,-264.697479,1449.187500,110.250946,-1.101404,-5.998089,-2.807101,-252.261139,1348.942749,100.039322
114,0.316667,148.512558,-14.388142,172.935364,-264.680145,1449.194092,110.241730,-1.038894,-5.990280,-2.816911,-252.272400,1348.951782,100.055626
115,0.319444,148.386826,-14.499158,173.058594,-264.661591,1449.250732,110.249268,-1.065662,-6.001231,-2.816391,-252.268906,1348.969849,100.063507
116,0.322222,148.393021,-14.486517,173.072876,-264.658600,1449.256836,110.251808,-0.980776,-5.970761,-2.803754,-252.272400,1348.966553,100.048759
117,0.325000,148.420303,-14.467132,173.042755,-264.649353,1449.272705,110.255684,-0.971122,-6.000948,-2.758917,-252.271805,1348.981201,100.046455
118,0.327778,148.595200,-14.324569,172.947174,-264.677765,1449.228394,110.250519,-0.964940,-6.001346,-2.821682,-252.267532,1349.004517,100.062347
119,0.330556,148.421082,-14.472677,173.000961,-264.644348,1449.295654,110.258919,-0.941797,-6.018248,-2.776163,-252.270844,1349.019043,100.061897
120,0.333333,148.370056,-14.416903,172.953690,-264.643433,1449.313599,110.273346,-0.897598,-6.012879,-2.746059,-252.258484,1349.023315,100.065948
121,0.336111,148.382202,-14.453148,172.884995,-264.639801,1449.328857,110.265984,-0.899137,-6.013440,-2.780428,-252.260330,1349.041138,100.072021
