Frame,Time (Seconds),X,Y,Z,X,Y,Z
245,0.680556,-262.98645,1449.661499,110.949432,-252.204514,1349.087646,100.091545
246,0.683333,-264.511353,1449.283203,110.158058,-252.194733,1349.084839,100.111679
247,0.686111,-263.065186,1449.679688,110.89463,-252.20108,1349.08606,100.090477
248,0.688889,-264.509155,1449.293945,110.158089,-252.188293,1349.083008,100.106934
249,0.691667,-264.495361,1449.258179,110.169327,-252.187698,1349.086914,100.094666
250,0.694444,-264.506653,1449.298828,110.164345,-252.191269,1349.083496,100.102448
251,0.697222,-264.495209,1449.265503,110.169212,-252.186478,1349.077148,100.10289
252,0.7,-264.513214,1449.290161,110.17131,-252.184631,1349.078979,100.112518
253,0.702778,-264.451874,1449.266113,110.098541,-252.184067,1349.07605,100.104774
254,0.705556,-264.491547,1449.275513,110.171181,-252.185669,1349.079346,100.098381
255,0.708333,-264.493744,1449.292969,110.162941,-252.180573,1349.082275,100.106377
256,0.711111,-264.486847,1449.266479,110.186417,-252.181656,1349.076782,100.113197
257,0.713889,-264.505432,1449.294556,110.177315,-252.183914,1349.073975,100.119186
258,0.716667,-264.486206,1449.276001,110.179787,-252.172119,1349.076782,100.117729
259,0.719444,-264.510773,1449.297729,110.159889,-252.185043,1349.072144,100.106041
260,0.722222,-264.506348,1449.296265,110.167877,-252.187378,1349.076904,100.102425
261,0.725,-264.504456,1449.293091,110.161575,-252.184036,1349.080566,100.095299
262,0.727778,-264.48764,1449.272461,110.172928,-252.185883,1349.074829,100.094574
263,0.730556,-262.484528,1447.740356,111.510933,-252.18457,1349.077515,100.1045
264,0.733333,-264.517242,1449.297852,110.171318,-252.191452,1349.077881,100.111801
265,0.736111,-263.082642,1449.676392,110.899979,-252.190231,1349.078613,100.100739
266,0.738889,-264.48056,1449.285767,110.102081,-252.18866,1349.075073,100.093742
267,0.741667,-264.491516,1449.267456,110.180161,-252.189819,1349.079346,100.088142
268,0.744444,-264.486969,1449.290649,110.107986,-252.213837,1349.141724,100.116814
269,0.747222,-264.512146,1449.285522,110.164757,-252.215363,1349.144043,100.109772
270,0.75,-262.512939,1447.769897,111.491631,-252.193665,1349.082275,100.093193
271,0.752778,-264.486206,1449.282837,110.095093,-252.218124,1349.140259,100.129707
272,0.755556,-262.983948,1449.664673,110.950966,-252.195206,1349.084595,100.103294
273,0.758333,-262.507507,1447.778442,111.491356,-252.217377,1349.140381,100.129974
274,0.761111,-264.520996,1449.284668,110.16246,-252.226685,1349.143555,100.118729
275,0.763889,-262.971344,1449.665161,110.955162,-252.196518,1349.08728,100.111053
276,0.766667,-264.523651,1449.289551,110.16114,-252.2034,1349.094971,100.116081
277,0.769444,-262.987549,1449.669312,110.945457,-252.222656,1349.148315,100.1409
278,0.772222,-264.50885,1449.295166,110.170425,-252.219284,1349.153564,100.136528
279,0.775,-262.967743,1449.679077,110.953453,-252.218155,1349.148804,100.136131
280,0.777778,-264.504578,1449.299561,110.174026,-252.211456,1349.147705,100.146111
281,0.780556,-264.486084,1449.282715,110.185036,-252.199265,1349.095825,100.120316
282,0.783333,-264.489136,1449.28186,110.166542,-252.214554,1349.151978,100.139511
283,0.786111,-264.485443,1449.281982,110.17881,-252.202301,1349.090332,100.107536
284,0.788889,-264.486603,1449.28833,110.176697,-252.208176,1349.136719,100.139778
285,0.791667,-264.487396,1449.27478,110.173378,-252.191956,1349.085693,100.106514
286,0.794444,-264.493439,1449.276245,110.177277,-252.188202,1349.084961,100.104103
287,0.797222,-264.482117,1449.278564,110.167877,-252.191223,1349.0802,100.114449
288,0.8,-264.515106,1449.308228,110.159615,-252.185883,1349.0802,100.104813
289,0.802778,-264.511871,1449.302856,110.152809,-252.188599,1349.078857,100.123894
290,0.805556,-264.478699,1449.276245,110.163811,-252.190674,1349.08313,100.108162
291,0.808333,-264.512299,1449.291504,110.156372,-252.190109,1349.08252,100.099602
292,0.811111,-264.471405,1449.274292,110.158745,-252.184448,1349.082886,100.108627
293,0.813889,-264.487061,1449.303345,110.15667,-252.188477,1349.080811,100.098351
294,0.816667,-264.483276,1449.266968,110.181938,-252.192352,1349.086426,100.096519
295,0.819444,-264.479187,1449.263672,110.177109,-252.18457,1349.077881,100.11454
296,0.822222,-264.448761,1449.27002,110.105362,-252.189575,1349.087158,100.114059
297,0.825,-264.449402,1449.271118,110.114319,-252.192886,1349.088745,100.09594
298,0.827778,-264.472839,1449.261841,110.173958,-252.186478,1349.084717,100.10894
299,0.830556,-264.473541,1449.266724,110.174004,-252.19136,1349.094604,100.104858
300,0.833333,-264.493195,1449.285034,110.165955,-252.212738,1349.146606,100.140648
301,0.836111,-264.449402,1449.267578,110.110397,-252.21756,1349.149048,100.144844
302,0.838889,-264.467804,1449.294067,110.098953,-252.21759,1349.150513,100.14476
303,0.841667,-264.483429,1449.270264,110.172791,-252.202545,1349.099243,100.121002
304,0.844444,-264.470215,1449.269287,110.118286,-252.22287,1349.150269,100.136528
305,0.847222,-264.471893,1449.294434,110.093513,-252.226028,1349.148315,100.143349
306,0.85,-264.487244,1449.28064,110.17717,-252.221756,1349.15332,100.150795
307,0.852778,-264.496368,1449.28186,110.181755,-252.225067,1349.149536,100.134491
308,0.855556,-264.500275,1449.296509,110.169373,-252.220428,1349.153931,100.134285
309,0.858333,-264.472504,1449.301758,110.099434,-252.229218,1349.151245,100.131653
310,0.861111,-264.457367,1449.281494,110.107262,-252.199387,1349.094971,100.111961
311,0.863889,-264.492706,1449.288818,110.166161,-252.219116,1349.155518,100.131798
312,0.866667,-264.481232,1449.286621,110.172211,-252.216721,1349.156982,100.132797
313,0.869444,-264.479553,1449.280884,110.169762,-252.211624,1349.157593,100.133636
314,0.872222,-264.473236,1449.307617,110.0793,-252.196289,1349.177612,100.100975
315,0.875,-264.494537,1449.303223,110.154358,-252.192108,1349.104736,100.100235
316,0.877778,-264.497284,1449.286743,110.171097,-252.191818,1349.184448,100.11042
317,0.880556,-264.469299,1449.275513,110.165077,-252.188034,1349.183838,100.117462
318,0.883333,-264.475159,1449.276733,110.162163,-252.179947,1349.171509,100.104263
319,0.886111,-264.472473,1449.281372,110.160385,-252.158646,1349.119385,100.080055
320,0.888889,-264.47583,1449.277344,110.165573,-252.157532,1349.120728,100.084198
321,0.891667,-264.523499,1449.294556,110.099976,-252.154526,1349.116211,100.075432
322,0.894444,-264.46582,1449.272705,110.16082,-252.170532,1349.170532,100.109268
323,0.897222,-264.451996,1449.294922,110.077209,-252.143829,1349.107544,100.083855
324,0.9,-264.453705,1449.264893,110.147537,-252.144791,1349.11084,100.079529
325,0.902778,-264.428741,1449.264771,110.079872,-252.138947,1349.110352,100.069489
326,0.905556,-264.45752,1449.276733,110.082039,-252.139984,1349.100098,100.07061
327,0.908333,-264.454956,1449.272827,110.073776,-252.140106,1349.102905,100.079788
328,0.911111,-264.347931,1449.407837,110.106102,-252.142914,1349.096436,100.081779
329,0.913889,-264.49115,1449.263672,110.037666,-252.141678,1349.09729,100.074081
330,0.916667,-264.438385,1449.244019,110.092529,-252.142548,1349.097656,100.087013
331,0.919444,-264.351105,1449.404663,110.107719,-252.135925,1349.088867,100.07016
332,0.922222,-263.643341,1450.747559,109.257309,-252.147141,1349.102295,100.083992
333,0.925,-262.430176,1447.975342,111.595177,-252.147736,1349.096191,100.082062
334,0.927778,-264.478821,1449.241699,110.092957,-252.155991,1349.095093,100.074982
335,0.930556,-262.955109,1449.62793,110.933228,-252.147324,1349.093384,100.063095
336,0.933333,-264.502655,1449.264404,110.165405,-252.15062,1349.095459,100.079094
337,0.936111,-263.023712,1449.654053,110.880089,-252.151459,1349.103149,100.085144
338,0.938889,-264.47464,1449.279175,110.086281,-252.170883,1349.164429,100.105255
