"","t","x1","y1","z1","x2","y2","z2"
"260",0.719444,-264.3325957,1449.307226,110.1908998,-252.20542,1349.09502,100.1041202
"261",0.722222,-264.1009997,1449.004956,110.4819916,-252.2077882,1349.091943,100.0981294
"262",0.725,-264.4423142,1449.304053,110.1835996,-252.207791,1349.092554,100.1014556
"263",0.727778,-264.4053269,1449.279224,110.19059,-252.2069398,1349.095508,100.0964066
"264",0.730556,-264.1243864,1449.666382,110.7410294,-252.2081482,1349.094995,100.109761
"265",0.733333,-264.3207193,1449.283472,110.1762864,-252.207742,1349.092139,100.1068892
"266",0.736111,-264.5011789,1449.362012,110.325612,-252.207663,1349.091699,100.1094484
"267",0.738889,-264.0603836,1449.967773,110.447844,-252.2080994,1349.087695,100.1016768
"268",0.741667,-264.246266,1449.976343,110.4608826,-252.2001158,1349.085401,100.092865
"269",0.744444,-264.3984442,1449.289477,110.1642438,-252.204532,1349.099439,100.0960326
"270",0.747222,-264.301154,1449.978784,110.4558518,-252.204056,1349.099414,100.0964386
"271",0.75,-264.3313294,1449.98811,110.4339766,-252.2019532,1349.096118,100.0973708
"272",0.752778,-264.4106176,1449.978711,110.4402998,-252.2045898,1349.108325,100.1086804
"273",0.755556,-264.3672011,1449.360034,110.3293396,-252.197104,1349.094995,100.1104782
"274",0.758333,-264.2019568,1449.711281,110.7213228,-252.2059448,1349.109957,100.1044204
"275",0.761111,-264.2953778,1449.976858,110.4605422,-252.2061676,1349.104566,100.1049902
"276",0.763889,-264.2896782,1449.362111,110.3350588,-252.200531,1349.097803,100.104436
"277",0.766667,-264.4934624,1449.317116,110.1774292,-252.2018556,1349.098218,100.1093444
"278",0.769444,-264.1565976,1449.055812,110.6127308,-252.2063508,1349.108887,100.1099496
"279",0.772222,-264.419876,1449.29175,110.1742736,-252.2046814,1349.112891,100.11073
"280",0.775,-264.406623,1449.36145,110.3340284,-252.2032318,1349.092505,100.1019302
"281",0.777778,-264.4238119,1449.284277,110.1846998,-252.2070526,1349.099048,100.1111376
"282",0.780556,-264.3968668,1449.636577,110.340915,-252.2013244,1349.079346,100.100371
"283",0.783333,-264.1193452,1449.974976,110.4581528,-252.2046662,1349.090845,100.1010008
"284",0.786111,-264.5235253,1449.276684,110.1689714,-252.2083984,1349.090283,100.1026838
"285",0.788889,-264.1581689,1449.368238,110.337352,-252.2101014,1349.10022,100.1075574
"286",0.791667,-264.4425812,1449.285571,110.1816238,-252.204941,1349.150342,99.9488126
"287",0.794444,-264.1323915,1449.970776,110.4699752,-252.2031832,1349.078003,100.1096884
"288",0.797222,-264.3000913,1449.284424,110.1844558,-252.2058624,1349.076734,100.1060516
"289",0.8,-264.1995376,1449.369067,110.3431518,-252.2138428,1349.09707,100.1159104
"290",0.802778,-264.1409392,1449.979809,110.4662156,-252.2087466,1349.090845,100.1158874
"291",0.805556,-264.0630985,1449.977197,110.4732482,-252.206552,1349.083057,100.109498
"292",0.808333,-264.1826943,1449.98103,110.4679474,-252.2058838,1349.080713,100.107654
"293",0.811111,-264.3533974,1449.292187,110.1871292,-252.202533,1349.083887,100.1070938
"294",0.813889,-264.1237741,1449.375976,110.3413514,-252.2045196,1349.084644,100.1090218
"295",0.816667,-264.4675434,1449.295312,110.1881942,-252.2035676,1349.086157,100.1075502
"296",0.819444,-264.2278539,1449.377271,110.3426058,-252.2069092,1349.09751,100.1112974
"297",0.822222,-264.1885135,1449.984082,110.461977,-252.2059968,1349.101196,100.111766
"298",0.825,-264.4609446,1449.298218,110.1708876,-252.2029634,1349.098071,100.108664
"299",0.827778,-264.137831,1449.366943,110.3410554,-252.2061066,1349.100269,100.1118088
"300",0.830556,-264.330123,1449.289502,110.194362,-252.207312,1349.100171,100.1157348
"301",0.833333,-264.4327585,1449.286767,110.1763384,-252.211209,1349.107397,100.1171586
"302",0.836111,-264.4253202,1449.270776,110.1767872,-252.2111478,1349.106714,100.1174894
"303",0.838889,-264.3189748,1449.978076,110.4481016,-252.2087522,1349.104467,100.1122558
"304",0.841667,-264.4511958,1449.281152,110.1824112,-252.2086668,1349.089185,100.110646
"305",0.844444,-264.1656386,1449.381274,110.329286,-252.2100066,1349.087891,100.1130646
"306",0.847222,-264.4367817,1449.30791,110.1632964,-252.2117462,1349.097241,100.118053
"307",0.85,-264.2152458,1449.999488,110.4726288,-252.2064422,1349.079175,100.107196
